NAME,S1901_C01_012E,state,county
"Baldwin County, Alabama",69914,01,003
"Calhoun County, Alabama",52819,01,015
"Cullman County, Alabama",63229,01,043
"DeKalb County, Alabama",49663,01,049
"Elmore County, Alabama",71651,01,051
"Etowah County, Alabama",57098,01,055
"Houston County, Alabama",56705,01,069
"Jefferson County, Alabama",61968,01,073
"Lauderdale County, Alabama",59461,01,077
"Lee County, Alabama",58549,01,081
"Limestone County, Alabama",84220,01,083
"Madison County, Alabama",80123,01,089
"Marshall County, Alabama",52678,01,095
"Mobile County, Alabama",54300,01,097
"Montgomery County, Alabama",57509,01,101
"Morgan County, Alabama",62201,01,103
"St. Clair County, Alabama",70301,01,115
"Shelby County, Alabama",98212,01,117
"Talladega County, Alabama",56876,01,121
"Tuscaloosa County, Alabama",61097,01,125
"Anchorage Municipality, Alaska",100751,02,020
"Fairbanks North Star Borough, Alaska",83519,02,090
"Matanuska-Susitna Borough, Alaska",84636,02,170
"Apache County, Arizona",37663,04,001
"Cochise County, Arizona",55031,04,003
"Coconino County, Arizona",62622,04,005
"Maricopa County, Arizona",83747,04,013
"Mohave County, Arizona",54786,04,015
"Navajo County, Arizona",49487,04,017
"Pima County, Arizona",64014,04,019
"Pinal County, Arizona",76377,04,021
"Yavapai County, Arizona",63936,04,025
"Yuma County, Arizona",53994,04,027
"Benton County, Arkansas",85917,05,007
"Craighead County, Arkansas",61871,05,031
"Faulkner County, Arkansas",62993,05,045
"Garland County, Arkansas",53145,05,051
"Jefferson County, Arkansas",44584,05,069
"Lonoke County, Arkansas",63766,05,085
"Pulaski County, Arkansas",56308,05,119
"Saline County, Arkansas",67632,05,125
"Sebastian County, Arkansas",51491,05,131
"Washington County, Arkansas",61194,05,143
"White County, Arkansas",57015,05,145
"Alameda County, California",122159,06,001
"Butte County, California",64426,06,007
"Contra Costa County, California",120061,06,013
"El Dorado County, California",105982,06,017
"Fresno County, California",69571,06,019
"Humboldt County, California",57883,06,023
"Imperial County, California",57310,06,025
"Kern County, California",66234,06,029
"Kings County, California",64368,06,031
"Lake County, California",51259,06,033
"Los Angeles County, California",82516,06,037
"Madera County, California",76920,06,039
"Marin County, California",136214,06,041
"Mendocino County, California",65520,06,045
"Merced County, California",66164,06,047
"Monterey County, California",92840,06,053
"Napa County, California",100318,06,055
"Nevada County, California",78401,06,057
"Orange County, California",106209,06,059
"Placer County, California",105445,06,061
"Riverside County, California",86748,06,065
"Sacramento County, California",84211,06,067
"San Benito County, California",111544,06,069
"San Bernardino County, California",79091,06,071
"San Diego County, California",98928,06,073
"San Francisco County, California",136692,06,075
"San Joaquin County, California",86056,06,077
"San Luis Obispo County, California",90216,06,079
"San Mateo County, California",145388,06,081
"Santa Barbara County, California",90894,06,083
"Santa Clara County, California",150839,06,085
"Santa Cruz County, California",102146,06,087
"Shasta County, California",68276,06,089
"Solano County, California",92959,06,095
"Sonoma County, California",96830,06,097
"Stanislaus County, California",75886,06,099
"Sutter County, California",65018,06,101
"Tehama County, California",58884,06,103
"Tulare County, California",64722,06,107
"Ventura County, California",102569,06,111
"Yolo County, California",83875,06,113
"Yuba County, California",65052,06,115
"Adams County, Colorado",91367,08,001
"Arapahoe County, Colorado",93784,08,005
